NUM_ENEMY,3,,#敵の総数,,,
ENEMY_FILENAME,data/OBJECT/SecurityCamera.x,,# 監視カメラ,,,
ENEMY_FILENAME,data/OBJECT/robot.x,,# ロボット,,,
,,,,,,
ENEMYSET,#1個目,,,,,
INDEX,1,# ロボット,,,,
POS,-250,0,900,,,
ROT,0,0,0,,,
ATTACKPOWER,5,,,,,
SET_CHECKPOINT,,,,,,
MOVE,1.5,,,,,
NUM_CHECKPOINT,4,,,,,
SET_POINT,-250,0,900,,,
SET_POINT,0,0,900,,,
SET_POINT,250,0,900,,,
SET_POINT,0,0,900,,,
END_CHECKPOINT,,,,,,
END_ENEMYSET,,,,,,
ENEMYSET,#2個目,,,,,
INDEX,1,# ロボット,,,,
POS,200,0,850,,,
ROT,0,0,0,,,
ATTACKPOWER,5,,,,,
SET_CHECKPOINT,,,,,,
MOVE,1.5,,,,,
NUM_CHECKPOINT,5,,,,,
SET_POINT,200,0,850,,,
SET_POINT,200,0,520,,,
SET_POINT,200,0,640,,,
SET_POINT,-200,0,640,,,
SET_POINT,200,0,640,,,
END_CHECKPOINT,,,,,,
END_ENEMYSET,,,,,,
,,,,,,
ENEMYSET,#3個目,,,,,
INDEX,0,# 監視カメラ,,,,
POS,-200,150,700,,,
ROT,0,1.483529864,0,,,
PATROL_ROT,0.261799388,,,,,
END_ENEMYSET,,,,,,
